PRODUCT_NAME,CATEGORY,PRICE,PRODUCT_ID
"Lloyd 1.5 Ton 3 Star Inverter Split Ac 5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3",Air Conditioner,58990,PRD11001
"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio",Air Conditioner,75990,PRD11002
"LG 1 Ton 4 Star Ai Dual Inverter Split Ac Copper, Super Convertible 6-In-1 Cooling, Hd Filter With Anti Virus Protection,",Air Conditioner,61990,PRD11003
"LG 1.5 Ton 3 Star AI DUAL Inverter Split AC Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio",Air Conditioner,68990,PRD11004
"Carrier 1.5 Ton 3 Star Inverter Split AC Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)",Air Conditioner,67790,PRD11005
"Voltas 1.4 Ton 3 Star Inverter Split ACCopper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",Air Conditioner,70990,PRD11006
"Lloyd 1.0 Ton 3 Star Inverter Split Ac 5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr",Air Conditioner,49990,PRD11007
"Lloyd 1.5 Ton 5 Star Inverter Split Ac 5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr",Air Conditioner,67990,PRD11008
"Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F",Air Conditioner,58190,PRD11009
"Voltas 1.5 Ton, 5 Star, Inverter Split ACCopper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 185V DAZJ, White)",Air Conditioner,73990,PRD11010
"Daikin 1 Ton 3 Star Inverter Split AC Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2023 M",Air Conditioner,48200,PRD11011
"Daikin 1.5 Ton 5 Star Inverter Split AC Copper, PM 2.5 Filter, 2022 Model, MTKM50U, White)",Air Conditioner,67200,PRD11012
"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Wa",Air Conditioner,63400,PRD11013
"Carrier 1.5 Ton 5 Star AI Flexicool Inverter Split AC Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5",Air Conditioner,78490,PRD11014
"Whirlpool 1.5 Ton 3 Star, Flexicool Inverter Split AC Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1",Air Conditioner,62000,PRD11015
"Samsung 1.5 Ton 3 Star Inverter Split AC Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus Anti-Bacteria), 2023 ",Air Conditioner,60990,PRD11016
"Lloyd 1.0 Ton 5 Star Inverter Split Ac 5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr",Air Conditioner,57990,PRD11017
"Godrej 1.5 Ton 5 Star 5-In-1 Convertible, Inverter Split AC 100% Copper, Heavy Duty Cooling at 52°C, 2023 Model,AC 1.5T E",Air Conditioner,54900,PRD11018
"Godrej 1 Ton 3 Star Inverter Split Ac Model 2023 100% Copper,5-In-1 Convertible, Ac 1T Ei 12Tinv3R32-Gwa Split, White)",Air Conditioner,42900,PRD11019
"Daikin 1.5 Ton 3 Star Inverter Split AC Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, MTKL",Air Conditioner,58400,PRD11020
"Blue Star 1.5 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC Copper, Multi Sensors, Stabalizer Free Operation, D",Air Conditioner,62250,PRD11021
"LG 1.5 Ton 2 Star DUAL Inverter Split AC Copper, Convertible 4-in-1 Cooling, HD Filter with Anti-virus Protection, 2023 M",Air Conditioner,62990,PRD11022
"LG 1.5 Ton 4 Star AI DUAL Inverter Split AC Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio",Air Conditioner,71990,PRD11023
"Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ",Air Conditioner,54600,PRD11024
