PRODUCT_NAME,CATEGORY,PRICE,PRODUCT_ID
RAG28 Wooden Wall Decor Set of 11 (SPW1) Multicolour,Home Decor,799,PRD11001
"ArtX Paper Motivational Wall Frames, Inspirational Quotes Wall Frames For Home Office Study Room Decor, Multicolor Posters",Home Decor,1399,PRD11002
Mahogany Life Vintage Glass Hanging Photo Frame For Wall Decor (5x7 inch)  Transparent Glass and Brass Metal Hanging Pres,Home Decor,901,PRD11003
"Indianara Religious Painting -Synthetic Wood, 27x30.5x1cm, Multicolour (GB5)",Home Decor,499,PRD11004
Lexton 20 Piece Photo Clips String Light Battery Powered (Battery Not Included) for Home Decoration (Warm White),Home Decor,499,PRD11005
Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,Home Decor,799,PRD11006
"Kridaykraft Metal Kuber Deepam Oil lamp for or Bringing Good Luck, Prosperity and Wealth,",Home Decor,800,PRD11007
"Bubble Candle - Cube Soy Wax Candles, Home Decor Candle, Scented Candle Set 2 Pieces, Home Use and Gifting",Home Decor,899,PRD11008
Soul & Scents 120 ml Lavender Reed Diffuser Set  Free 6 Fiber Reed Sticks Toxin Free & Stress Relief  Fine-Living Natur,Home Decor,699,PRD11009
"Ajanta Orpat Time Piece Beep Alarm Clock (Small_140X114X74 Mm, White,Plastic)",Home Decor,599,PRD11010
Homenique Artificial Leaf Money Plant Greenery Fake Hanging Vine Plants Leaf Garland Hanging for Wedding Home Decoration,Home Decor,1350,PRD11011
"SAF Set of 3 Buddha UV Textured Home Decorative Gift Item Painting , 18 Inch X 12 Inch - SANFJM31046, Figures, Religious",Home Decor,899,PRD11012
"Mangaldeep Puja Agarbatti, Sandal, 60 Sticks (Pack of 2)",Home Decor,70,PRD11013
Krisah® 1 pcs Lab Tested ISI Seal Original Sandalwood Scented Processed Mysore Chandan Sticks 30-40 Gram for Puja,Home Decor,1345,PRD11014
"HIVAGI® Aromatherapy Essential Oil Diffuser with Flame Light, 180mL Quiet Mist Humidifiers for Essential Oils Home Aroma A",Home Decor,4000,PRD11015
"Amazon Brand - Solimo Collage Set of 11 Black Photo Frames ( 4 x 6 Inch - 2 & 5 X 5 Inch - 6, 5 X 7 inch - 2 & 8 X 10 inch",Home Decor,770,PRD11016
"Basement Bazaar Mahi Glass Hookah (24.8 cm, Black)",Home Decor,749,PRD11017
Reflekt Premium Hand Soap Sheets (Lavender) - Pack Of 80 Sheets In Storage Tin Box  Moisturising Formula Effective On Ge,Home Decor,599,PRD11018
"PRINTNET Pack of 28 BTS Polaroid photocards Collection for BTS Fans, Multicolour",Home Decor,429,PRD11019
SPHINX Artificial Marigold Fluffy Flowers Garlands Double line Door Toran Set/Door Hangings for Home Office Decoration (Ap,Home Decor,899,PRD11020
Aditya Shopping Electric Ceramic Kapoor Dani/Aroma Oil Burner Cum Night Lamp with Switch Design (Style 03),Home Decor,699,PRD11021
World Fire Home Deco Purifying Brass Dhuna Loban Burner(Round),Home Decor,1400,PRD11022
"natureCRAFTS Wooden Coasters for Drinks Set of 6 with Iron Holder, Wooden and Iron Tea Coaster to Prevent Furniture from B",Home Decor,399,PRD11023
Gopz Flexible Mirror Sheets Self-Adhesive Plastic Mirror Tiles Non-Glass Mirror Stickers for Home Decoration [Size:- 30cm*,Home Decor,499,PRD11024
