visitor_id,Paths_journey
00000FkCnDfDDf0iC97iC703B,Start > Instagram > Facebook > Conversion
0000nACkD9nFkBBDECD3ki00E,Start > Youtube > Conversion
0003EfE37E93D0BC03iBhBBhF,Start > Youtube > Conversion
00073CFE3FoFCn70fBhB3kfon,Start > Instagram > NULL
00079hhBkDF3k3kDkiFi9EFAD,Start > Youtube > Conversion
0007iiAiFh3ifoo9Ehn3ABB0F,Start > Instagram > Facebook > Conversion
0007o0nfoh9o79DDfD7DAiEnE,Start > Facebook > Conversion
0007oEBhnoF97AoEE3BCkFnhB,Start > Youtube > Conversion
00090n9EBBEkA000C7Cik999D,Start > Facebook > Conversion
000A9AfDohfiBAFB0FDf3kDEE,Start > Youtube > NULL
000ADEAB7fBin9fEoFFnAohi9,Start > Facebook > Youtube > NULL
000Afi9i930kBkA9EhBDDi9B7,Start > Youtube > Conversion
000BA9hECi3BiBkAifAA7ifA7,Start > Facebook > NULL
000C9BiBFhoFhC7noEFAA7no7,Start > Youtube > Conversion
000C9f9DnCfoDF03BnfFAEFFC,Start > Youtube > Facebook > Instagram > Conversion
000CBnkoBDkkfofFh3A3EBFDk,Start > Instagram > NULL
000Ch3F0DnD0hBk9fFh3hAiki,Start > Youtube > NULL
000ChDfhfD30FniFBAfo3D73C,Start > Youtube > Conversion
000Ck9AkfhnBE33ECoC030F0n,Start > Youtube > Conversion
000D9CBi0Bok9FFF0nAA0FCAi,Start > Youtube > NULL
000DBnhEF0kF0ono0D0F3kCC0,Start > Instagram > Facebook > Conversion
000DfAofCDDi30hhkfDok3o3B,Start > Youtube > NULL
000E3n77koFkDC3CBAA7nEhnC,Start > Facebook > NULL
000ECDfBnAAD0Diok7D9iEECh,Start > Youtube > NULL
000EEBhoB9kfD73oAiA7AD0Dk,Start > Instagram > NULL
000Ek3DkDn7AEn77BkiADEEAF,Start > Facebook > NULL
000Eo7C3n93Dhf9AEn3FFoCAf,Start > Youtube > NULL
000FDk9hFoDoBCnCkD9fDF3D3,Start > Youtube > NULL
000Fh09B3BkknfnCCAFf9fCAA,Start > Facebook > NULL
000f0nF77Afhf9ho7Aiff0Chh,Start > Youtube > Conversion
000fCfBEk7Ci39iDAn07A3inE,Start > Instagram > NULL
000ffDFE0f7D9F0hCf37hDfBo,Start > Youtube > NULL
000ffEnBE079A3B0f0oBi9khE,Start > Youtube > NULL
000fhi3BhoFoECEkCECkB7iDk,Start > Youtube > Conversion
000h3n9nC0hFhE3CCnkkAof7n,Start > Facebook > Conversion
000hBihC9o30A9fi7BhFDnhn0,Start > Youtube > Facebook > Conversion
000hCBnCB7oi7ADAEnEBCnBEE,Start > Youtube > Instagram > Conversion
000honBFhkFk7i99Af70CBDDA,Start > Youtube > NULL
000i03E3BDfh0hk9Ahn0f7oAD,Start > Youtube > NULL
000iBADEfCkiok99f79ffAADh,Start > Youtube > Facebook > Conversion
000iknF9no7B0nhhk9AEAFDDF,Start > Facebook > Conversion
000kBC7nCfAnfBonk7fCFD0hB,Start > Youtube > NULL
000kFiECFDA030i9B37E9oCBi,Start > Youtube > NULL
000kfo3A7h0B3FkCi999FA3FA,Start > Facebook > Conversion
000kiDB3D0fCfDAohCDB3ohko,Start > Facebook > Conversion
000kofk7BkBAEhB7k9o9iEC00,Start > Youtube > NULL
000n73fiCkA0oA3Fhhf9EFDf3,Start > Facebook > NULL
000n7hAFhAfAE9Bi70fEnCBfh,Start > Facebook > Conversion
000nFCC0h0F9A9AhF7Aof3kEo,Start > Youtube > Conversion
000o3iC0nhBo7oAFk7Ck070kn,Start > Youtube > NULL
000o9iFkno739k3no9CCCBC0F,Start > Youtube > NULL
000oAi09F00D7kB9h9fifh7Fi,Start > Instagram > NULL
0030DoC7kh039hf9noEnC3770,Start > Facebook > NULL
0030F0fDEkoDBi3hE0hnfBBiC,Start > Facebook > Instagram > Conversion
0030hifk3fE9fDiCAFD7BCfi0,Start > Youtube > NULL
0033Akffn7C737ChCo9DnkoDo,Start > Instagram > Conversion
0033CAi9nhFf0DAA7DDCC3FAn,Start > Youtube > Conversion
0033oBiDhi0i3iFkD9kkBBih7,Start > Youtube > Facebook > NULL
0037773AB7kDkEBoCE9hFDonB,Start > Youtube > NULL
0037D7FiF0kfkk0Ff7DDF7Eoh,Start > Youtube > Instagram > Facebook > Conversion
0037k0CoDkDEkABEBhkhnnEoh,Start > Facebook > NULL
0037ko7739kCfDfoiEFfi0okh,Start > Youtube > Conversion
0037nhikok99kB0nkDniFh7Eh,Start > Facebook > NULL
0037ok3iD0h3kkEDCB0nk9iko,Start > Youtube > Facebook > Conversion
003990Dn9fAo0B0EkoAkoh7i3,Start > Youtube > Facebook > NULL
0039Bk0Dnn9ABnh7F37f3B9ff,Start > Facebook > NULL
0039C7f0F70fh9ni0AiiBhkDo,Start > Facebook > NULL
0039FiDn93nnhC7BBkh3hFn33,Start > Facebook > NULL
0039hAEFAhA3BCB3oAAfi7hDo,Start > Instagram > Conversion
0039k3779iAhEDi9C9noAfohi,Start > Youtube > NULL
003ACfff0knf73nhiFn9hfnni,Start > Youtube > NULL
003Aif9oE7Bo3iCnDE9A0DnAo,Start > Facebook > NULL
003B0Ao7A0ko9E3f7fo99iDAf,Start > Facebook > NULL
003B309ifDDnBo77khE3ohEhA,Start > Youtube > NULL
003BF9BEC977DA9o0C7EEoF7o,Start > Youtube > Conversion
003CCF0Fo3Ffhfn7nfhDoDhBA,Start > Youtube > NULL
003CnEfCB9E39BFFn37okiho0,Start > Facebook > NULL
003D9ofD9ioEkEk977DfiAki7,Start > Facebook > NULL
003DAi9n0FAno77k339ih3E99,Start > Youtube > NULL
003DDEfE3fnCo970C0oC7n30A,Start > Youtube > Conversion
003DEAoDo39D7kEk97Ahnh709,Start > Facebook > NULL
003DnB3FCFF7h7kF93EB0Bnnf,Start > Facebook > Youtube > NULL
003EE0D0iDBD9hFCfAnEEoAhf,Start > Facebook > Instagram > NULL
003EFBAEn7BEoii00A7fi9797,Start > Facebook > NULL
003Ei33fBA0iD79E7hnkEoAC0,Start > Youtube > NULL
003EifBEffnChkhDf9BiEEfoh,Start > Facebook > Conversion
003FBikADDh07DFhnffAFhFiC,Start > Facebook > Instagram > Youtube > Conversion
003FDfkFo9hiADD0iCohDEDoB,Start > Instagram > Conversion
003FfkFABioiFE930fi93hkCD,Start > Facebook > NULL
003FiBChh7AiiiB7EiEBkEihF,Start > Youtube > Conversion
003FnD7i3fAnFFAho37o0knno,Start > Youtube > NULL
003f0F9k3737BiFoBn33DnEi0,Start > Instagram > NULL
003f0nhfn7kFB0AEoBh3CoCkk,Start > Youtube > NULL
003fhDDko9Bkfn0iEf3EkEDEB,Start > Facebook > NULL
003h0of0Bknh93nBk3EfAk0Bf,Start > Youtube > NULL
003h797E7CD03nAfD3i0hF7nn,Start > Facebook > NULL
003h9o0F90Fo7iE0CCEAfBoC3,Start > Youtube > NULL
003hhiiCinfACA9i0AfEADoko,Start > Youtube > NULL
003hiFAhBfFh0iBikFCf9iB7i,Start > Facebook > Conversion
003i090k9h3EhkA7A7iDoCh0E,Start > Youtube > Facebook > Conversion
